workbook,sheet,max_row,max_column,nonempty_cells_observed,formula_cells_observed,sample_cells
code/legacy/model_spreadsheets/modernized/nexus_welfare_model.xlsx,Defaults,12,3,35,6,B1=Values in Model | C1=Original | A2=v | B2==1/psi | C2==1/psi | A3=w | B3==1/alpha | C3==1/alpha
code/legacy/model_spreadsheets/modernized/nexus_welfare_model.xlsx,W-Tax(All-Tax),14,28,308,220,A1=Tau | B1=OldTau | C1=Size | D1=a | E1=b | F1=ij | G1=jj | H1=BUTIJ
code/legacy/model_spreadsheets/modernized/nexus_welfare_model.xlsx,W-Toll(All-Tax),14,29,319,240,A1=Tau | B1=OldTau | C1=Size | D1=a | E1=b | F1=ij | G1=jj | H1=BUTIJ
code/legacy/model_spreadsheets/modernized/nexus_welfare_model.xlsx,W-Toll(All-Tax) (theta),29,32,676,536,A1=Theta | B1=Ccv' | C1=Theta-necessary | D1=Tau | E1=OldTau | F1=Size | G1=a | H1=b
code/legacy/model_spreadsheets/modernized/nexus_welfare_model.xlsx,W-Tax(All-Toll)-NONC,14,28,308,250,A1=Tau | B1=OldTau | C1=Size | D1=a | E1=b | F1=ij | G1=jj | H1=BUTIJ
code/legacy/model_spreadsheets/modernized/nexus_welfare_model.xlsx,W-Tax(All-Toll)-Coop,14,28,308,250,A1=Tau | B1=OldTau | C1=Size | D1=a | E1=b | F1=ij | G1=jj | H1=BUTIJ
code/legacy/model_spreadsheets/modernized/nexus_welfare_model.xlsx,W-Toll(All-Toll)-NONC,14,29,319,240,A1=Tau | B1=OldTau | C1=Size | D1=a | E1=b | F1=ij | G1=jj | H1=BUTIJ
code/legacy/model_spreadsheets/modernized/nexus_welfare_model.xlsx,W-Theta-Compare-NONC,5,6,26,12,A1=Size | B1=Theta-Default | C1=All-Tax:Theta-Necessary | D1=All-Toll:Theta-Necessary | E1=All-Tax: Toll | F1=All-Toll: Toll | A2=1 | B2=0.08
code/legacy/model_spreadsheets/modernized/nexus_welfare_model.xlsx,W-Toll(All-Toll)-NONC(theta),50,32,1504,1250,A1=Theta | B1=Ccv' | C1=Theta-necessary | D1=Tau | E1=OldTau | F1=Size | G1=a | H1=b
code/legacy/model_spreadsheets/modernized/nexus_welfare_model.xlsx,W-Toll(All-Toll)-Coop,14,28,308,250,A1=Tau | B1=OldTau | C1=Size | D1=a | E1=b | F1=ij | G1=jj | H1=BUTIJ
